[0, [0, 6.0, 3.0, 20.0, 11.0, 13.0, 12.0, 9.0, 16.0, 20.0, 5.0], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 20.0, 0]
[1, [1000000, 0, 1.0, 11.0, 3.0, 1000000, 6.0, 18.0, 1000000, 1000000, 1000000], null, 0, 6.0]
[2, [1000000, 3.0, 0, 18.0, 1000000, 16.0, 1000000, 3.0, 5.0, 1000000, 1000000], null, 0, 3.0]
[3, [1000000, 6.0, 2.0, 0, 2.0, 5.0, 20.0, 1000000, 1000000, 1.0, 1000000], null, 0, 20.0]
[4, [1000000, 3.0, 1000000, 1000000, 0, 1000000, 1000000, 5.0, 1000000, 13.0, 1000000], null, 0, 11.0]
[5, [1000000, 5.0, 5.0, 12.0, 1000000, 0, 1000000, 1000000, 11.0, 20.0, 4.0], null, 0, 13.0]
[6, [1000000, 6.0, 1000000, 2.0, 5.0, 9.0, 0, 1000000, 2.0, 1000000, 1000000], null, 0, 12.0]
[7, [1000000, 1000000, 5.0, 1000000, 1000000, 1000000, 1000000, 0, 1000000, 1000000, 1000000], null, 0, 9.0]
[8, [1000000, 1000000, 1000000, 1000000, 8.0, 5.0, 5.0, 14.0, 0, 1000000, 8.0], null, 0, 16.0]
[9, [1000000, 20.0, 1000000, 1000000, 4.0, 12.0, 11.0, 2.0, 3.0, 0, 13.0], null, 0, 20.0]
[10, [1000000, 1000000, 5.0, 1000000, 9.0, 2.0, 1000000, 1000000, 1000000, 20.0, 0], null, 0, 5.0]
